Dates,Number of tweets,311 requests
8/18/17,56,1249
8/19/17,3626,455
8/20/17,2328,300
8/21/17,1817,1248
8/22/17,4967,1335
8/23/17,18597,1276
8/24/17,146267,1215
8/25/17,573388,869
8/26/17,691781,1284
8/27/17,879337,1529
8/28/17,950604,805
8/29/17,856520,818
8/30/17,820710,1358
8/31/17,538972,1525
9/1/17,355630,1638
9/2/17,246567,941
9/3/17,192815,756
9/4/17,117088,930
9/5/17,90826,1654
9/6/17,77313,1812
9/7/17,70375,1825
9/8/17,80668,2078
9/9/17,59757,740
9/10/17,47797,513
9/11/17,35905,1845
9/12/17,36824,2333
9/13/17,33685,1985
9/14/17,24323,1889
9/15/17,19008,1949
9/16/17,13429,886
9/17/17,6607,670
9/18/17,10309,2235
9/19/17,12172,2328
9/20/17,11643,1913
9/21/17,8541,1724
9/22/17,1614,1572
