Date,Addicks storage (acre ft),Addicks elevation (ft),Addicks rain (in),Barker storage (acre ft),Barker elevation (ft),Barker rain (in),Dairy Ashford rain (in),Beltway 8 rain (in),San Felipe rain (in),Shepherd rain (in),Milam rain (in),Dairy Ashford elevation (ft),Beltway 8 elevation (ft),San Felipe elevation (ft),Shepherd elevation (ft),Milam elevation (ft),Flow discharge rate (cfs)
JAN,109.1,77.55,0,61.08,78.24,0,0,0,0,0,0,46.33,36.73,23.82,2.97,2.01,0
1/2/2017,172.3,80.78,0.52,265.6,78.96,0.52,0.84,0.12,0.88,0.88,1.08,52.13,43.57,29.38,6.5,4.07,0
1/3/2017,824.1,83.34,0,103.7,79.86,0,0,0,0,0,0,53.96,45.24,30.88,5.57,2.18,0
1/4/2017,1846,83.08,0,642.8,79.94,0,0,0,0,0,0,53.9,45.24,30.93,5.94,1.72,0
1/5/2017,712.0,80.48,0,379.7,78.86,0,0,0,0,0,0,53.16,44.63,30.55,5.93,1.97,0
1/6/2017,65.13,76.06,0.24,5.4,73.1,0.24,0.16,0.12,0.12,0.16,0.2,49.74,42.23,28.98,5.09,1,0
1/7/2017,125.1,76.97,0,14.3,74.11,0,0,0,0,0,0,48.02,39.81,25.96,2.53,0.38,0
1/8/2017,131.2,76.2,0,4.05,73.97,0,0,0,0,0,0,47.91,39.7,25.95,2.98,1.8,0
1/9/2017,64.09,73.79,0,3.15,72.62,0,0,0,0,0,0,47.33,38.89,25.36,3.07,2.19,0
1/10/2017,47.24,69.21,0,2.72,72.28,0,0,0,0,0,0,46.95,37.85,24.27,2.67,2.07,0
1/11/2017,46.26,69.12,0,2.37,72.11,0,0,0,0,0,0,46.86,37.52,23.94,2.61,2.13,0
1/12/2017,46.09,69.1,0,2.22,72,0,0,0,0,0,0,46.8,37.38,23.76,2.76,2.26,0
1/13/2017,46.08,69.09,0,2.07,71.93,0,0,0,0,0.04,0.16,46.76,37.34,23.72,2.72,2.13,0
1/14/2017,45.42,69,0,2,71.89,0,0,0,0.04,0,0,46.71,37.24,23.6,2.62,2,0
1/15/2017,45.49,70.3,0.08,2.25,71.92,0.08,0.12,0.04,0.04,0,0.16,47.01,37.65,23.91,2.48,2.01,0
1/16/2017,56.67,80.31,0.04,91.95,76.43,0.04,0,0,0,0.04,0,49.12,40.53,26.14,2.66,2.12,0
1/17/2017,681.4,84.69,0.76,1625,81.89,0.76,0.88,0.68,0.16,0.76,0.36,51.5,43.14,28.9,5.4,1.94,0
1/18/2017,3184,89.22,2.88,9821,86.35,2.88,3.44,3.16,4.28,6.8,6.8,59.77,53.35,41.8,23.31,20.38,0
1/19/2017,12790,90.26,0.48,14640,87.66,0.48,0.56,0.48,0.56,0.64,0.52,53.18,44.48,32.59,12.33,4.57,0
1/20/2017,16530,90.72,0.56,17880,88.35,0.56,1.4,1.12,2.16,2.2,3.04,53.2,46.09,35.02,12.77,8.06,0
1/21/2017,18560,91.24,0.04,20930,88.93,0.04,0.04,0.04,0,0,0,55.56,46.36,35.23,13.12,8.55,0
1/22/2017,20930,91.24,0,19950,88.94,0,0.04,0.04,0.04,0.08,0.04,57.88,48.57,34.05,8.18,2.16,0
1/23/2017,19610,90.98,0,17860,88.75,0,0,0,0,0,0,59.33,49.7,34.78,8.53,1.32,0
1/24/2017,17610,90.45,0,14980,88.42,0,0,0,0,0,0,59.35,49.94,35.41,9.55,2.72,0
1/25/2017,14680,89.61,0,12970,87.76,0,0,0,0,0,0,59.11,49.83,35.31,9.56,2.75,0
1/26/2017,11700,88.88,0,10850,87.29,0,0,0,0,0,0,58.87,49.56,35.07,9.28,1.84,0
1/27/2017,8446,87.66,0,8327,86.68,0,0,0,0,0,0,58.86,49.52,35.05,9.14,2.13,0
1/28/2017,5314,86.2,0,6041,85.82,0,0,0,0,0,0,58.4,49.2,34.84,9.12,2.06,0
1/29/2017,1822,82.96,0,3820,84.98,0,0,0,0,0,0,56.76,48.16,34.17,8.79,1.76,0
1/30/2017,180.0,77.74,0,1576,83.72,0,0,0,0,0,0,55.3,46.62,32.59,7.5,0.95,0
