Date,Addicks storage - acre ft,Addicks  elevation - ft,Addicks rain - in,Barker storage - acre ft,Barker elevation - ft,Barker rain - in
1/1/2017,109.1,75.19,0,61.08,78.24,0
1/2/2017,172.3,77.44,0.52,265.6,78.96,0.52
1/3/2017,824.1,80.65,0,103.7,79.86,0
1/4/2017,1846,82.91,0,642.8,79.94,0
1/5/2017,712,80.32,0,379.7,78.86,0
1/6/2017,65.13,71.24,0.24,5.4,73.1,0.24
1/7/2017,125.1,75.92,0,14.3,74.11,0
1/8/2017,131.2,76.17,0,4.05,73.97,0
1/9/2017,64.09,71.12,0,3.15,72.62,0
1/10/2017,47.24,69.03,0,2.72,72.28,0
1/11/2017,46.26,68.91,0,2.37,72.11,0
1/12/2017,46.09,68.89,0,2.22,72,0
1/13/2017,46.08,68.88,0,2.07,71.93,0
1/14/2017,45.42,68.8,0,2,71.89,0
1/15/2017,45.49,68.81,0.08,2.25,71.92,0.08
1/16/2017,56.67,70.21,0.04,91.95,76.43,0.04
1/17/2017,681.4,80.23,0.76,1625,81.89,0.76
1/18/2017,3184,84.56,2.88,9821,86.35,2.88
1/19/2017,12790,89.12,0.48,14640,87.66,0.48
1/20/2017,16530,90.11,0.56,17880,88.35,0.56
1/21/2017,18560,90.57,0.04,20930,88.93,0.04
1/22/2017,20930,91.09,0,19950,88.94,0
1/23/2017,19610,90.81,0,17860,88.75,0
1/24/2017,17610,90.35,0,14980,88.42,0
1/25/2017,14680,89.63,0,12970,87.76,0
1/26/2017,11700,88.79,0,10850,87.29,0
1/27/2017,8446,87.64,0,8327,86.68,0
1/28/2017,5314,86.15,0,6041,85.82,0
1/29/2017,1822,82.87,0,3820,84.98,0
1/30/2017,180,77.6,0,1576,83.72,0
1/31/2017,51.26,69.53,0,4.3,81.79,0
2/1/2017,48.85,69.23,0,2.9,72.74,0
2/2/2017,46.84,68.98,0,2.57,72.18,0
2/3/2017,46.36,68.92,0,2.47,72.05,0
2/4/2017,46.2,68.9,0,2.17,72,0
2/5/2017,45.56,68.82,0,2.1,71.93,0
2/6/2017,46.2,68.9,0,2.27,71.96,0
2/7/2017,45.16,68.77,0,2.15,71.95,0
2/8/2017,44.92,68.74,0,2.05,71.89,0
2/9/2017,44.52,68.69,0,1.88,71.84,0
2/10/2017,44.84,68.73,0,1.95,71.81,0
2/11/2017,44.84,68.73,0,1.92,71.83,0
2/12/2017,44.92,68.74,0,1.88,71.83,0
2/13/2017,45.16,68.77,0,1.85,71.83,0
2/14/2017,44.04,68.63,1.04,17.31,74.1,1.04
2/15/2017,128,76.04,0,100.6,76.69,0
2/16/2017,120.6,75.71,0,10.2,76.66,0
2/17/2017,49.6,69.33,0.12,8.3,73.76,0.12
2/18/2017,48.37,69.17,0,4.3,73.3,0
2/19/2017,48.1,69.14,0,3.3,72.63,0
2/20/2017,46.95,68.99,1.44,819,80.3,1.44
2/21/2017,907.6,80.9,0,2237,82.6,0
2/22/2017,2037,83.2,0,2545,82.97,0
2/23/2017,733.9,80.38,0,1509,83.02,0
2/24/2017,177.9,77.56,0,13,81.49,0
2/25/2017,54.26,69.91,0,3.8,73.62,0
2/26/2017,50.95,69.49,0,2.97,72.48,0
2/27/2017,48.84,69.23,0,3.22,72.72,0
2/28/2017,47.05,69.01,0,2.82,72.27,0
3/1/2017,46.63,68.95,0,2.62,72.14,0
3/2/2017,46.52,68.94,0,2.33,72.01,0
3/3/2017,46.25,68.91,0,2.18,71.93,0
3/4/2017,46.2,68.9,0.04,2.1,71.89,0.04
3/5/2017,46.12,68.89,1.96,1252,76.16,1.96
3/6/2017,134.2,76.3,0.2,1698,81.25,0.2
3/7/2017,357.4,79.06,0,18.15,82.38,0
3/8/2017,370.5,79.11,0,92.46,82,0
3/9/2017,271.6,78.51,0,29.28,76.43,0
3/10/2017,341.6,79,0,620.8,76.43,0
3/11/2017,194.5,77.91,0.44,59.76,79.74,0.44
3/12/2017,343.8,79.01,0.08,12.1,80.45,0.08
3/13/2017,414.7,79.28,0,13.6,75.43,0
3/14/2017,98.64,74.58,0,2.33,74.1,0
3/15/2017,56.08,70.14,0,3.15,73.69,0
3/16/2017,49.92,69.37,0,2.8,72.32,0
3/17/2017,48.08,69.13,0,2.55,72.26,0
3/18/2017,47.19,69.02,0,2.42,72.11,0
3/19/2017,46.71,68.96,0,2.38,72.02,0
3/20/2017,46.63,68.95,0,2.22,72,0
3/21/2017,45.9,68.86,0,2.07,71.94,0
3/22/2017,45.82,68.85,0,1.98,71.87,0
3/23/2017,45.9,68.86,0,1.9,71.82,0
3/24/2017,44.94,68.74,1.16,45.57,71.99,1.16
3/25/2017,45.01,68.75,0.04,3.48,75.38,0.04
3/26/2017,283.5,78.59,0,2.42,76,0
3/27/2017,373.8,79.12,0,1.83,72.29,0
3/28/2017,49.48,69.31,0,48.21,71.92,0
3/29/2017,46.92,68.99,1.52,44.58,75.67,1.52
3/30/2017,323.3,78.87,0,14.6,77.58,0
3/31/2017,1437,82.15,0,221.7,75.39,0
4/1/2017,142.6,76.65,0,3.32,78.02,0
4/2/2017,79.46,72.83,0.12,2.4,78.68,0.12
4/3/2017,85.21,73.47,0,1.9,72.2,0
4/4/2017,48.58,69.2,0,1.63,71.91,0
4/5/2017,46.66,68.96,0,2.22,71.74,0
4/6/2017,45.61,68.83,0,2.07,72,0
4/7/2017,45.45,68.81,0,1.92,71.93,0
4/8/2017,45.45,68.81,0,1.83,71.88,0
4/9/2017,45.28,68.79,0,2.2,71.84,0
4/10/2017,45.04,68.76,0.04,3.4,71.86,0.04
4/11/2017,47.52,69.06,0.92,9.89,75.87,0.92
4/12/2017,149.7,76.94,0,4.45,73.61,0
4/13/2017,193.4,77.88,0,2.82,73.43,0
4/14/2017,50.71,69.46,0,2.07,72.66,0
4/15/2017,47.83,69.1,0,1.59,72.06,0
4/16/2017,46.7,68.96,0,1.79,71.79,0
4/17/2017,46.22,68.9,0.48,825.2,74.94,0.48
4/18/2017,95.73,74.38,0.88,423.4,80.57,0.88
