year,FIPS,County ,Total ,Male total ,Female total ,Caucasian total ,Caucasian male ,Caucasian Female ,African American total ,African American male ,African American Female ,Latino Total ,Latino Male ,Latino Female ,Asian Total ,Asian Male ,Asian Female ,Other Total ,Other Male ,Other Female 
2010,39,Brazoria County,313166,159000,154166,166674,83696,82978,36880,19378,17502,86643,44846,41797,17013,8181,8832,5956,2899,3057
2011,39,Brazoria County,319061,161896,157165,167347,83993,83354,38220,20024,18196,89537,46295,43242,17798,8580,9218,6159,3004,3155
2012,39,Brazoria County,325102,164870,160232,167970,84266,83704,39617,20690,18927,92525,47796,44729,18600,8994,9606,6390,3124,3266
2013,39,Brazoria County,331162,167836,163326,168531,84499,84032,41055,21377,19678,95561,49328,46233,19416,9405,10011,6599,3227,3372
2014,39,Brazoria County,337296,170856,166440,169017,84701,84316,42529,22079,20450,98668,50898,47770,20258,9836,10422,6824,3342,3482
2015,39,Brazoria County,343482,173911,169571,169418,84859,84559,44048,22805,21243,101845,52504,49341,21115,10275,10840,7056,3468,3588
2016,39,Brazoria County,349754,176993,172761,169747,84979,84768,45610,23555,22055,105086,54140,50946,22017,10732,11285,7294,3587,3707
2017,39,Brazoria County,356110,180118,175992,170013,85065,84948,47207,24315,22892,108406,55819,52587,22952,11205,11747,7532,3714,3818
2018,39,Brazoria County,362586,183300,179286,170196,85116,85080,48881,25106,23775,111811,57539,54272,23914,11695,12219,7784,3844,3940
2019,39,Brazoria County,369135,186499,182636,170311,85115,85196,50584,25909,24675,115272,59288,55984,24927,12206,12721,8041,3981,4060
2020,39,Brazoria County,375842,189785,186057,170409,85117,85292,52338,26737,25601,118797,61061,57736,25989,12748,13241,8309,4122,4187
2021,39,Brazoria County,382763,193154,189609,170500,85103,85397,54151,27596,26555,122413,62877,59536,27115,13310,13805,8584,4268,4316
2022,39,Brazoria County,389809,196596,193213,170537,85066,85471,55994,28468,27526,126102,64736,61366,28308,13912,14396,8868,4414,4454
2023,39,Brazoria County,397087,200162,196925,170561,85033,85528,57915,29378,28537,129876,66634,63242,29568,14548,15020,9167,4569,4598
2024,39,Brazoria County,404505,203764,200741,170539,84964,85575,59884,30302,29582,133718,68558,65160,30880,15207,15673,9484,4733,4751
2025,39,Brazoria County,412092,207465,204627,170469,84869,85600,61894,31242,30652,137638,70526,67112,32266,15911,16355,9825,4917,4908
2026,39,Brazoria County,419849,211270,208579,170366,84766,85600,63940,32209,31731,141623,72523,69100,33738,16662,17076,10182,5110,5072
2027,39,Brazoria County,427725,215136,212589,170198,84645,85553,66034,33187,32847,145681,74550,71131,35262,17441,17821,10550,5313,5237
2028,39,Brazoria County,435750,219095,216655,169980,84505,85475,68184,34194,33990,149795,76609,73186,36865,18269,18596,10926,5518,5408
2029,39,Brazoria County,443977,223126,220851,169753,84345,85408,70355,35210,35145,153991,78701,75290,38565,19146,19419,11313,5724,5589
2030,39,Brazoria County,452393,227260,225133,169517,84189,85328,72576,36248,36328,158242,80821,77421,40333,20052,20281,11725,5950,5775
2031,39,Brazoria County,460943,231454,229489,169242,84007,85235,74835,37304,37531,162539,82962,79577,42188,21015,21173,12139,6166,5973
2032,39,Brazoria County,469573,235701,233872,168934,83814,85120,77106,38366,38740,166873,85128,81745,44096,22004,22092,12564,6389,6175
2033,39,Brazoria County,478278,239985,238293,168554,83587,84967,79402,39436,39966,171249,87311,83938,46068,23029,23039,13005,6622,6383
2034,39,Brazoria County,487045,244306,242739,168122,83338,84784,81704,40511,41193,175669,89513,86156,48095,24084,24011,13455,6860,6595
2035,39,Brazoria County,495844,248652,247192,167649,83072,84577,84019,41595,42424,180111,91716,88395,50168,25172,24996,13897,7097,6800
2036,39,Brazoria County,504699,253035,251664,167112,82781,84331,86346,42674,43672,184592,93940,90652,52284,26289,25995,14365,7351,7014
2037,39,Brazoria County,513594,257450,256144,166526,82463,84063,88688,43774,44914,189097,96183,92914,54434,27416,27018,14849,7614,7235
2038,39,Brazoria County,522493,261870,260623,165895,82128,83767,91047,44877,46170,193639,98438,95201,56592,28556,28036,15320,7871,7449
2039,39,Brazoria County,531356,266282,265074,165199,81764,83435,93406,45981,47425,198180,100690,97490,58785,29724,29061,15786,8123,7663
