Number of tweets,Dates
56,8/18/17
3626,8/19/17
2328,8/20/17
1817,8/21/17
4967,8/22/17
18597,8/23/17
146267,8/24/17
573388,8/25/17
691781,8/26/17
879337,8/27/17
950604,8/28/17
856520,8/29/17
820710,8/30/17
538972,8/31/17
355630,9/1/17
246567,9/2/17
192815,9/3/17
117088,9/4/17
90826,9/5/17
77313,9/6/17
70375,9/7/17
80668,9/8/17
59757,9/9/17
47797,9/10/17
35905,9/11/17
36824,9/12/17
33685,9/13/17
24323,9/14/17
19008,9/15/17
13429,9/16/17
6607,9/17/17
10309,9/18/17
12172,9/19/17
11643,9/20/17
8541,9/21/17
1614,9/22/17
