Date,Barker storage capacity - acre feet,Barker elevation - ft,Barker rain - in
1/1/2017,61.08,78.24,0
1/2/2017,265.6,78.96,0.52
1/3/2017,103.7,79.86,0
1/4/2017,642.8,79.94,0
1/5/2017,379.7,78.86,0
1/6/2017,5.4,73.1,0.24
1/7/2017,14.3,74.11,0
1/8/2017,4.05,73.97,0
1/9/2017,3.15,72.62,0
1/10/2017,2.72,72.28,0
1/11/2017,2.37,72.11,0
1/12/2017,2.22,72,0
1/13/2017,2.07,71.93,0
1/14/2017,2,71.89,0
1/15/2017,2.25,71.92,0.08
1/16/2017,91.95,76.43,0.04
1/17/2017,1625,81.89,0.76
1/18/2017,9821,86.35,2.88
1/19/2017,14640,87.66,0.48
1/20/2017,17880,88.35,0.56
1/21/2017,20930,88.93,0.04
1/22/2017,19950,88.94,0
1/23/2017,17860,88.75,0
1/24/2017,14980,88.42,0
1/25/2017,12970,87.76,0
1/26/2017,10850,87.29,0
1/27/2017,8327,86.68,0
1/28/2017,6041,85.82,0
1/29/2017,3820,84.98,0
1/30/2017,1576,83.72,0
1/31/2017,4.3,81.79,0
2/1/2017,2.9,72.74,0
2/2/2017,2.57,72.18,0
2/3/2017,2.47,72.05,0
2/4/2017,2.17,72,0
2/5/2017,2.1,71.93,0
2/6/2017,2.27,71.96,0
2/7/2017,2.15,71.95,0
2/8/2017,2.05,71.89,0
2/9/2017,1.88,71.84,0
2/10/2017,1.95,71.81,0
2/11/2017,1.92,71.83,0
2/12/2017,1.88,71.83,0
2/13/2017,1.85,71.83,0
2/14/2017,17.31,74.1,1.04
2/15/2017,100.6,76.69,0
2/16/2017,10.2,76.66,0
2/17/2017,8.3,73.76,0.12
2/18/2017,4.3,73.3,0
2/19/2017,3.3,72.63,0
2/20/2017,819,80.3,1.44
2/21/2017,2237,82.6,0
2/22/2017,2545,82.97,0
2/23/2017,1509,83.02,0
2/24/2017,13,81.49,0
2/25/2017,3.8,73.62,0
2/26/2017,2.97,72.48,0
2/27/2017,3.22,72.72,0
2/28/2017,2.82,72.27,0
3/1/2017,2.62,72.14,0
3/2/2017,2.33,72.01,0
3/3/2017,2.18,71.93,0
3/4/2017,2.1,71.89,0.04
3/5/2017,1252,76.16,1.96
3/6/2017,1698,81.25,0.2
3/7/2017,18.15,82.38,0
3/8/2017,92.46,82,0
3/9/2017,29.28,76.43,0
3/10/2017,620.8,76.43,0
3/11/2017,59.76,79.74,0.44
3/12/2017,12.1,80.45,0.08
3/13/2017,13.6,75.43,0
3/14/2017,2.33,74.1,0
3/15/2017,3.15,73.69,0
3/16/2017,2.8,72.32,0
3/17/2017,2.55,72.26,0
3/18/2017,2.42,72.11,0
3/19/2017,2.38,72.02,0
3/20/2017,2.22,72,0
3/21/2017,2.07,71.94,0
3/22/2017,1.98,71.87,0
3/23/2017,1.9,71.82,0
3/24/2017,45.57,71.99,1.16
3/25/2017,3.48,75.38,0.04
3/26/2017,2.42,76,0
3/27/2017,1.83,72.29,0
3/28/2017,48.21,71.92,0
3/29/2017,44.58,75.67,1.52
3/30/2017,14.6,77.58,0
3/31/2017,221.7,75.39,0
4/1/2017,3.32,78.02,0
4/2/2017,2.4,78.68,0.12
4/3/2017,1.9,72.2,0
4/4/2017,1.63,71.91,0
4/5/2017,2.22,71.74,0
4/6/2017,2.07,72,0
4/7/2017,1.92,71.93,0
4/8/2017,1.83,71.88,0
4/9/2017,2.2,71.84,0
4/10/2017,3.4,71.86,0.04
4/11/2017,9.89,75.87,0.92
4/12/2017,4.45,73.61,0
4/13/2017,2.82,73.43,0
4/14/2017,2.07,72.66,0
4/15/2017,1.59,72.06,0
4/16/2017,1.79,71.79,0
4/17/2017,825.2,74.94,0.48
4/18/2017,423.4,80.57,0.88
4/19/2017,100.3,81.88,0
4/20/2017,24.11,78.73,0
