Date,Dairy Ashford rain,Beltway 8 rain,San Felipe rain,Shepherd rain,Milam rain
1/1/2017,0,0,0,0,0
1/2/2017,0.84,0.12,0.88,0.88,1.08
1/3/2017,0,0,0,0,0
1/4/2017,0,0,0,0,0
1/5/2017,0,0,0,0,0
1/6/2017,0.16,0.12,0.12,0.16,0.2
1/7/2017,0,0,0,0,0
1/8/2017,0,0,0,0,0
1/9/2017,0,0,0,0,0
1/10/2017,0,0,0,0,0
1/11/2017,0,0,0,0,0
1/12/2017,0,0,0,0,0
1/13/2017,0,0,0,0.04,0.16
1/14/2017,0,0,0.04,0,0
1/15/2017,0.12,0.04,0.04,0,0.16
1/16/2017,0,0,0,0.04,0
1/17/2017,0.88,0.68,0.16,0.76,0.36
1/18/2017,3.44,3.16,4.28,6.8,6.8
1/19/2017,0.56,0.48,0.56,0.64,0.52
1/20/2017,1.4,1.12,2.16,2.2,3.04
1/21/2017,0.04,0.04,0,0,0
1/22/2017,0.04,0.04,0.04,0.08,0.04
1/23/2017,0,0,0,0,0
1/24/2017,0,0,0,0,0
1/25/2017,0,0,0,0,0
1/26/2017,0,0,0,0,0
1/27/2017,0,0,0,0,0
1/28/2017,0,0,0,0,0
1/29/2017,0,0,0,0,0
1/30/2017,0,0,0,0,0
1/31/2017,0,0,0,0,0
2/1/2017,0,0,0,0,0
2/2/2017,0,0,0,0,0
2/3/2017,0,0,0,0,0
2/4/2017,0,0,0,0,0
2/5/2017,0,0,0,0,0
2/6/2017,0,0,0,0,0
2/7/2017,0,0,0,0,0
2/8/2017,0,0,0,0,0
2/9/2017,0,0,0,0,0
2/10/2017,0,0,0,0,0
2/11/2017,0,0,0,0,0
2/12/2017,0,0,0,0,0
2/13/2017,0,0,0,0,0
2/14/2017,0.96,1.32,0.96,0.88,0.96
2/15/2017,0,0,0,0,0
2/16/2017,0,0,0,0,0
2/17/2017,0.2,0.28,0.32,0.28,0.28
2/18/2017,0,0,0,0,0
2/19/2017,0,0,0.04,0,0
2/20/2017,1.32,1.36,1,1.44,1.4
2/21/2017,0,0,0,0,0
2/22/2017,0,0,0,0,0
2/23/2017,0,0,0,0,0
2/24/2017,0,0,0,0,0
2/25/2017,0,0,0,0,0
2/26/2017,0,0,0,0,0
2/27/2017,0,0,0,0,0
2/28/2017,0,0,0,0,0
3/1/2017,0,0,0,0,0
3/2/2017,0,0,0,0,0
3/3/2017,0,0,0,0,0
3/4/2017,0.08,0.08,0.04,0.04,0.08
3/5/2017,1.44,1.84,1.72,1.48,1.8
3/6/2017,0,0.08,0.04,0.04,0.28
3/7/2017,0.04,0,0,0.04,0.12
3/8/2017,0,0,0,0,0
3/9/2017,0,0,0,0,0
3/10/2017,0.2,0,0.04,0.44,0.08
3/11/2017,0.48,0.56,0.44,0.6,0.92
3/12/2017,0,0,0.04,0.04,0.04
3/13/2017,0,0,0,0,0
3/14/2017,0,0,0,0,0
3/15/2017,0,0,0,0,0
3/16/2017,0,0,0,0,0
3/17/2017,0,0,0,0,0
3/18/2017,0,0,0,0,0
3/19/2017,0,0,0,0,0
3/20/2017,0,0,0,0,0
3/21/2017,0,0,0,0,0
3/22/2017,0,0,0,0,0
3/23/2017,0,0,0,0,0
3/24/2017,0.56,0.24,0.16,0.24,0.08
3/25/2017,0.04,0.04,0.04,0.04,0
3/26/2017,0,0,0,0,0
3/27/2017,0,0,0,0,0
3/28/2017,0,0,0,0,0
3/29/2017,1.2,1.2,1.24,0.36,1.56
3/30/2017,0,0,0,0.08,0.04
3/31/2017,0,0,0,0,0
4/1/2017,0,0,0,0,0
4/2/2017,0.16,0.12,0.12,0,0
4/3/2017,0,0,0,0,0
4/4/2017,0,0,0,0,0
4/5/2017,0,0,0,0,0
4/6/2017,0,0,0,0,0
4/7/2017,0,0,0,0,0
4/8/2017,0,0,0,0,0
4/9/2017,0,0,0,0,0
4/10/2017,0,0.04,0,0,0
4/11/2017,0.88,1.28,1,1.16,1.8
4/12/2017,0,0,0,0,0
4/13/2017,0,0,0,0,0
4/14/2017,0,0,0,0,0
4/15/2017,0,0,0,0,0
4/16/2017,0,0,0,0,0
4/17/2017,0.48,0.68,0.28,0.12,0.12
4/18/2017,0.96,0.92,0.92,0.8,0.56
4/19/2017,0,0,0,0.12,0.04
4/20/2017,0,0,0,0,0
4/21/2017,0,0,0,0,0
4/22/2017,0,0,0,0,0
4/23/2017,0,0,0,0,0
4/24/2017,0,0,0,0,0
4/25/2017,0,0,0,0,0
4/26/2017,0,0,0,0,0
4/27/2017,0,0,0,0,0
4/28/2017,0,0,0,0,0
4/29/2017,0,0,0,0,0
4/30/2017,0,0,0,0,0
5/1/2017,0,0,0,0,0
5/2/2017,0,0,0,0,0
5/3/2017,0.64,0.6,0.36,0.32,0.48
5/4/2017,0,0,0,0,0
5/5/2017,0,0,0,0,0
5/6/2017,0,0,0,0,0
5/7/2017,0,0,0,0,0
5/8/2017,0,0,0,0,0
5/9/2017,0,0,0,0,0
5/10/2017,0,0,0,0,0
5/11/2017,0,0,0,0,0
5/12/2017,0,0,0,0.04,0.04
5/13/2017,0,0,0,0,0
5/14/2017,0,0,0,0,0
5/15/2017,0,0,0,0,0
5/16/2017,0,0,0,0,0
5/17/2017,0,0,0,0,0
5/18/2017,0,0,0,0,0
5/19/2017,0,0,0,0,0
5/20/2017,0,0,0,0,0
5/21/2017,0.88,0.72,0.44,0.88,1.44
5/22/2017,0.44,0.64,1.88,2.2,1.4
5/23/2017,0.08,0.08,0.08,0.04,0
5/24/2017,0,0,0,0,0
5/25/2017,0,0,0,0,0
5/26/2017,0,0,0,0,0
5/27/2017,0,0,0,0,0
5/28/2017,1.52,1,1.88,0.88,0.36
5/29/2017,0.16,0.16,0.16,0.2,0.16
5/30/2017,0,0,0,0,0
5/31/2017,0.2,0.16,0.32,0.12,0.2
6/1/2017,0.12,0.16,0.04,0,0.04
6/2/2017,0.6,0.64,0.28,0.12,0
6/3/2017,0.28,0.48,0.04,1.6,1.24
6/4/2017,3.12,3.64,2.76,2,2.24
6/5/2017,0.08,0,0.04,0.12,0.24
6/6/2017,0.08,0,0,0,0.04
6/7/2017,0,0,0,0,0
6/8/2017,0,0,0,0,0
6/9/2017,0,0,0,0,0
6/10/2017,0,0,0,0,0
6/11/2017,0,0,0,0.08,0.32
6/12/2017,0,0,0,0.04,0
6/13/2017,0,0,0,0,0.04
6/14/2017,0,0,0,0,0
6/15/2017,0,0,0,0,0
6/16/2017,0,0,0,0,0
6/17/2017,0,0,0,0,0
6/18/2017,0,0,0,0,0
6/19/2017,0,0,0,0,0
6/20/2017,0.52,0,0,0,0
6/21/2017,0,0,0,0.12,0.08
6/22/2017,0.68,0.36,0.24,0.16,0.28
6/23/2017,0,0,0,0,0
6/24/2017,0.8,1.12,0.8,0.4,0.28
6/25/2017,1.84,2.24,1.24,1.04,1.88
6/26/2017,1.24,1.44,1,0,0
6/27/2017,0.56,1.04,1.92,0.16,0.12
6/28/2017,0,0,0,0.04,0
6/29/2017,0.24,0.12,0.08,0.04,0.32
6/30/2017,0,0,0,0,0
7/1/2017,0,0,0,0,0
7/2/2017,0,0,0,0,0
7/3/2017,0,0,0,0,0
7/4/2017,0,0,0,0,0
7/5/2017,0,0,0,0,0
7/6/2017,0,0,0,0,0
7/7/2017,0.04,0.6,0,0,0.56
7/8/2017,0,0.16,0.28,0.84,1.44
7/9/2017,0.4,0.68,0.36,0.44,0.32
7/10/2017,0,0,0,0.08,0
7/11/2017,0,0,0,0,0.12
7/12/2017,0.08,0,0,0.04,0
7/13/2017,0.48,0.4,0,0,0.76
7/14/2017,0,0,0,0,0
7/15/2017,2.24,1.96,0.76,2.2,2.08
7/16/2017,0,0,0,0,0
7/17/2017,0.28,0.16,0,0,0
7/18/2017,0,0,0,0,0.08
7/19/2017,0.6,0.84,1.44,0.52,0
7/20/2017,0,0,0,0,0
7/21/2017,0,0,0,0,0
7/22/2017,0.2,0,0,0.16,0.12
7/23/2017,0.16,0,0,0,0
7/24/2017,0,0,0,0,0
7/25/2017,0,0,0,0,0
7/26/2017,0,0.04,0,0.08,0.04
7/27/2017,0,0,0,0,0
7/28/2017,0,0,0,0,0
7/29/2017,0,0,0,0,0
7/30/2017,0,0,0,0,0
7/31/2017,0,0,0,0,0
8/1/2017,0,0,0,0,0
8/2/2017,2.08,1.12,0.76,0.36,0.4
8/3/2017,0,0,0,0,0
8/4/2017,0,0.08,0,0,0
8/5/2017,0,0.84,0.12,0.24,0.76
8/6/2017,0,0,0.04,0,0.04
8/7/2017,1.84,0.72,1.24,0.68,1.76
8/8/2017,5.4,5.12,4.2,1.88,1.36
8/9/2017,0,0,0,0,0
8/10/2017,0,0,0,0.28,0.04
8/11/2017,0,0,0,0.04,0
8/12/2017,0,0,0,0,0
8/13/2017,0,0,0,0,0
8/14/2017,0,0,0,0,0
8/15/2017,0,0,0,0,0
8/16/2017,0,0,0,0,0
8/17/2017,0,0,0,0,0
8/18/2017,0,0,0,0,0
8/19/2017,0,0,0,0,0
8/20/2017,0,0,0.04,0,0
8/21/2017,0,0,0,0,0
8/22/2017,0,0,0,0,0
8/23/2017,0.04,0,0,0,0
8/24/2017,0,0,0,0.2,1.4
8/25/2017,1.12,1.2,0.88,0.88,0.88
8/26/2017,12.48,12.64,7.76,8.68,9.32
8/27/2017,14.96,14.56,12.72,14.76,3.36
8/28/2017,5.84,7.32,7.08,6.88,0
8/29/2017,1.16,1.36,1.52,2.04,0
8/30/2017,0,0,0,0,0
8/31/2017,0,0,0,0,0
9/1/2017,0,0,0,0,0
9/2/2017,0,0,0,0,0
9/3/2017,0,0,0,0,0
9/4/2017,0,0,0,0,0
9/5/2017,0,0,0,0,0
9/6/2017,0.04,0.28,0.04,0,0
9/7/2017,0,0,0,0,0
9/8/2017,0,0,0,0,0
9/9/2017,0,0,0,0,0
9/10/2017,0,0,0,0,0
9/11/2017,0,0,0,0,0
9/12/2017,0,0,0,0,0
9/13/2017,0,0,0,0,0
9/14/2017,0,0,0,0,0
9/15/2017,0,0,0,0,0
9/16/2017,0,0,0,0,0
9/17/2017,0,0,0,0,0
9/18/2017,1.96,2.04,1.28,0.92,2.44
9/19/2017,0,0,0,0.04,0
9/20/2017,0.4,0.8,0,0,0
9/21/2017,0.12,0.08,0.44,1.04,1.2
9/22/2017,0,0,0,0,0
9/23/2017,0,0,0,0,0
9/24/2017,0,0,0,0,0
9/25/2017,0.08,0,0,0,0
9/26/2017,0.32,0,0,0,0
9/27/2017,0,0,0,0,0
9/28/2017,0.56,0.04,0,0.08,0.12
9/29/2017,0,0,0,0,0
9/30/2017,0,0,0,0,0
10/1/2017,0,0,0,0,0
10/2/2017,0,0,0,0.16,0.32
10/3/2017,0.2,0.24,0,0.52,0.56
10/4/2017,0,0,0,0,0
10/5/2017,0,0,0,0,0
10/6/2017,0,0,0,0,0
10/7/2017,0,0,0,0,0
10/8/2017,0,0,0,0,0
10/9/2017,0,0,0,0,0
10/10/2017,0,0,0,0,0
10/11/2017,0,0,0,0,0
10/12/2017,0,0,0,0,0
10/13/2017,0,0,0,0,0
10/14/2017,0,0,0,0,0
10/15/2017,0,0,0,0,0
10/16/2017,0,0,0,0,0
10/17/2017,0,0,0,0,0
10/18/2017,0,0,0,0,0
10/19/2017,0,0,0,0,0
10/20/2017,0.36,0.4,0.52,0.4,0.44
10/21/2017,0.16,0.08,0,0,0
10/22/2017,1.56,1.56,0.76,0.68,0.88
10/23/2017,0,0,0,0,0
10/24/2017,0,0,0,0,0
10/25/2017,0,0,0,0,0
10/26/2017,0,0,0,0,0
10/27/2017,0,0,0,0,0
10/28/2017,0,0,0,0,0
10/29/2017,0,0,0,0,0
10/30/2017,0,0,0,0,0
10/31/2017,0.76,0.52,0.36,0.12,0.08
11/1/2017,0.48,0.68,0.4,0.4,0.4
11/2/2017,0,0,0.04,0,0
11/3/2017,0,0,0,0,0
11/4/2017,0,0,0,0,0
11/5/2017,0,0,0,0,0
11/6/2017,0,0,0,0,0
11/7/2017,0,0,0,0,0
11/8/2017,0,0.04,0.04,0.04,0.04
11/9/2017,0.12,0.08,0.08,0.16,0.12
11/10/2017,0,0,0,0,0
11/11/2017,0,0,0,0,0
11/12/2017,0,0,0,0,0
11/13/2017,0,0,0,0,0
11/14/2017,0,0,0,0,0
11/15/2017,0,0,0,0,0
